Batch ID,Prospect ID,Business name,Root domain,GitHub path,Branch,Current main commit SHA,Publication verification commit SHA,Deployment URL,Deployment status,First-draft ID,First-draft status,Follow-up status,QA status,Compliance status,Last verified at
2026-08-06-batch-15,ice-drainage-ltd+icedrainage.co.uk,ICE Drainage Ltd,icedrainage.co.uk,prospects/ice-drainage,outreach/2026-08-06-batch-15,09d5051bf616354fb860431d39871091bda981b5,b7aaa1a65be915cd6498dcd6710a59a5bda1b1c1,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/ice-drainage/,Verified live on 2026-08-06T07:25:43Z,Confirmed in connected Gmail; private identifier omitted from public record,Draft; not sent,Standalone Re: draft exists; not a genuine threaded reply,Existing static/link checks passed; strict uniqueness and four-viewport visual QA not passed,Eligible for preparation only; sending remains locked by MDA readiness,2026-08-06T11:02:00+02:00
2026-08-06-batch-15,angliasolar+angliasolar.co.uk,AngliaSolar,angliasolar.co.uk,prospects/anglia-solar,outreach/2026-08-06-batch-15,09d5051bf616354fb860431d39871091bda981b5,b7aaa1a65be915cd6498dcd6710a59a5bda1b1c1,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/anglia-solar/,Verified live on 2026-08-06T07:25:43Z,Confirmed in connected Gmail; private identifier omitted from public record,Draft; not sent,Standalone Re: draft exists; not a genuine threaded reply,Existing static/link checks passed; strict uniqueness and four-viewport visual QA not passed,Ineligible for unsolicited email without documented consent or another PECR exception,2026-08-06T11:02:00+02:00
2026-08-06-batch-15,industrial-doors-north-west+idnw.co.uk,Industrial Doors North West,idnw.co.uk,prospects/industrial-doors-north-west,outreach/2026-08-06-batch-15,09d5051bf616354fb860431d39871091bda981b5,b7aaa1a65be915cd6498dcd6710a59a5bda1b1c1,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/industrial-doors-north-west/,Verified live on 2026-08-06T07:25:43Z,Confirmed in connected Gmail; private identifier omitted from public record,Draft; not sent,Standalone Re: draft exists; not a genuine threaded reply,Existing static/link checks passed; strict uniqueness and four-viewport visual QA not passed,Ineligible until corporate subscriber status is resolved,2026-08-06T11:02:00+02:00
2026-08-06-batch-15,naylor-technical-services-ltd+ntsltd.uk,Naylor Technical Services Ltd,ntsltd.uk,prospects/nts-commercial-kitchens,outreach/2026-08-06-batch-15,09d5051bf616354fb860431d39871091bda981b5,b7aaa1a65be915cd6498dcd6710a59a5bda1b1c1,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/nts-commercial-kitchens/,Verified live on 2026-08-06T07:25:43Z,Confirmed in connected Gmail; private identifier omitted from public record,Draft; not sent,Standalone Re: draft exists; not a genuine threaded reply,Existing static/link checks passed; strict uniqueness and four-viewport visual QA not passed,Eligible for preparation only; sending remains locked by MDA readiness,2026-08-06T11:02:00+02:00
2026-08-06-batch-15,cdf-management-group-ltd+cdfmgroup.co.uk,CDF Management Group Ltd,cdfmgroup.co.uk,prospects/cdf-management-group,outreach/2026-08-06-batch-15,09d5051bf616354fb860431d39871091bda981b5,b7aaa1a65be915cd6498dcd6710a59a5bda1b1c1,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/cdf-management-group/,Verified live on 2026-08-06T07:25:43Z,Confirmed in connected Gmail; private identifier omitted from public record,Draft; not sent,Standalone Re: draft exists; not a genuine threaded reply,Existing static/link checks passed; strict uniqueness and four-viewport visual QA not passed,Eligible for preparation only; sending remains locked by MDA readiness,2026-08-06T11:02:00+02:00
2026-08-06-batch-15,engetech-ltd+engetech.co.uk,Engetech Ltd,engetech.co.uk,prospects/engetech-cold-rooms,outreach/2026-08-06-batch-15,09d5051bf616354fb860431d39871091bda981b5,b7aaa1a65be915cd6498dcd6710a59a5bda1b1c1,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/engetech-cold-rooms/,Verified live on 2026-08-06T07:25:43Z,Confirmed in connected Gmail; private identifier omitted from public record,Draft; not sent,Standalone Re: draft exists; not a genuine threaded reply,Existing static/link checks passed; strict uniqueness and four-viewport visual QA not passed,Eligible for preparation only; recheck exact legal entity before sending,2026-08-06T11:02:00+02:00
2026-08-06-batch-15,uk-cabling+ukcabling.com,UK Cabling,ukcabling.com,prospects/uk-cabling,outreach/2026-08-06-batch-15,09d5051bf616354fb860431d39871091bda981b5,b7aaa1a65be915cd6498dcd6710a59a5bda1b1c1,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/uk-cabling/,Verified live on 2026-08-06T07:25:43Z,Confirmed in connected Gmail; private identifier omitted from public record,Draft; not sent,Standalone Re: draft exists; not a genuine threaded reply,Existing static/link checks passed; strict uniqueness and four-viewport visual QA not passed,Ineligible until corporate subscriber status and legal entity are resolved,2026-08-06T11:02:00+02:00
2026-08-06-batch-15,total-air-solutions-ltd+totalairsolutions.co.uk,Total Air Solutions Ltd,totalairsolutions.co.uk,prospects/total-air-solutions,outreach/2026-08-06-batch-15,09d5051bf616354fb860431d39871091bda981b5,b7aaa1a65be915cd6498dcd6710a59a5bda1b1c1,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/total-air-solutions/,Verified live on 2026-08-06T07:25:43Z,Confirmed in connected Gmail; private identifier omitted from public record,Draft; not sent,Standalone Re: draft exists; not a genuine threaded reply,Existing static/link checks passed; strict uniqueness and four-viewport visual QA not passed,Eligible for preparation only; sending remains locked by MDA readiness,2026-08-06T11:02:00+02:00
2026-08-06-batch-15,rwr-commercial+rwrcommercial.co.uk,RWR Commercial,rwrcommercial.co.uk,prospects/rwr-commercial,outreach/2026-08-06-batch-15,09d5051bf616354fb860431d39871091bda981b5,b7aaa1a65be915cd6498dcd6710a59a5bda1b1c1,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/rwr-commercial/,Verified live on 2026-08-06T07:25:43Z,Confirmed in connected Gmail; private identifier omitted from public record,Draft; not sent,Standalone Re: draft exists; not a genuine threaded reply,Existing static/link checks passed; strict uniqueness and four-viewport visual QA not passed,Eligible for preparation only; sending remains locked by MDA readiness,2026-08-06T11:02:00+02:00
2026-08-06-batch-15,uk-pump-maintenance+ukpumpmaintenance.com,UK Pump Maintenance,ukpumpmaintenance.com,prospects/uk-pump-maintenance,outreach/2026-08-06-batch-15,09d5051bf616354fb860431d39871091bda981b5,b7aaa1a65be915cd6498dcd6710a59a5bda1b1c1,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/uk-pump-maintenance/,Verified live on 2026-08-06T07:25:43Z,Confirmed in connected Gmail; private identifier omitted from public record,Draft; not sent,Standalone Re: draft exists; not a genuine threaded reply,Existing static/link checks passed; strict uniqueness and four-viewport visual QA not passed,Ineligible until corporate subscriber status is resolved,2026-08-06T11:02:00+02:00
