Business,Recipient,Subject,Draft ID,Message ID,Gmail URL,Status,Follow-up status
Edge Technology Power,enquiries@edgetechnology.co.uk,Edge Technology — outage intake,r2893288433810546545,19fd37759428d9e5,https://mail.google.com/mail/#all/19fd37759428d9e5,Created; not sent,Prepared text only; genuine thread pending after first send
Air Compressors & Equipment Ltd,info@aircompressorequipment.co.uk,A clearer compressor callout,r2896444374622729521,19fd3771d9374738,https://mail.google.com/mail/#all/19fd3771d9374738,Created; not sent,Prepared text only; genuine thread pending after first send
Portcullis Site Services,enquiries@portcullis-site-services.co.uk,Portcullis — bay fault routing,r9212594075180672014,19fd377dd32ff6e3,https://mail.google.com/mail/#all/19fd377dd32ff6e3,Created; not sent,Prepared text only; genuine thread pending after first send
Loading Bay Service,info@rampsales.co.uk,"Loading-bay surveys, better briefed",r-8796315638826207445,19fd377bcd557c54,https://mail.google.com/mail/#all/19fd377bcd557c54,Created; not sent,Prepared text only; genuine thread pending after first send
The Racking Installation Company,info@rackinginstallationcompany.co.uk,"Racking projects, scoped upfront",r-1919525191013008667,19fd377fbdaa12bf,https://mail.google.com/mail/#all/19fd377fbdaa12bf,Created; not sent,Prepared text only; genuine thread pending after first send
Independent Forklift Services (Midlands),info@iforklifts.co.uk,"Forklift downtime, diagnosed sooner",r3662207533451373781,19fd3777efd02f78,https://mail.google.com/mail/#all/19fd3777efd02f78,Created; not sent,Prepared text only; genuine thread pending after first send
Capital Water Treatment,sales@capitalwater.co.uk,"Water systems, one clear brief",r4904463641980450323,19fd37743a1a8fa8,https://mail.google.com/mail/#all/19fd37743a1a8fa8,Created; not sent,Prepared text only; genuine thread pending after first send
SRC Catering Services,service@srccateringservices.co.uk,"Kitchen breakdowns, ready to dispatch",r8171321095541095765,19fd3782aa4844b3,https://mail.google.com/mail/#all/19fd3782aa4844b3,Created; not sent,Prepared text only; genuine thread pending after first send
J Child Commercial,info@jchildplumbing.co.uk,"Plant-room enquiries, organised",r2426443462467031443,19fd3779e2ccd978,https://mail.google.com/mail/#all/19fd3779e2ccd978,Created; not sent,Prepared text only; genuine thread pending after first send
Shield Pest Management,info@shieldpest.co.uk,Audit-ready pest contract briefs,r-4967019704531565386,19fd37810da03ff0,https://mail.google.com/mail/#all/19fd37810da03ff0,Created; not sent,Prepared text only; genuine thread pending after first send
