Business,Recipient,Subject,Draft ID,Message ID,Gmail URL,Status,Follow-up status
Sentral Lift Services,info@sentralliftservices.co.uk,"Lift callouts, prioritised correctly",r1111893089546767615,19fd3ad2340a04a1,https://mail.google.com/mail/#all/19fd3ad2340a04a1,Created; not sent,Prepared text only; genuine thread pending after first send
Quest Industrial Flooring Ltd,sales@questltd.co.uk,"Flooring surveys, specified sooner",r-5063110352236880575,19fd3ad43f53f368,https://mail.google.com/mail/#all/19fd3ad43f53f368,Created; not sent,Prepared text only; genuine thread pending after first send
DWAS Tex,danish@dwastex.co.uk,"Laundry projects, sized upfront",r1006681199441836656,19fd3ad688ef125a,https://mail.google.com/mail/#all/19fd3ad688ef125a,Created; not sent,Prepared text only; genuine thread pending after first send
Process Control Panels Ltd,sales@pcpltd.com,"Control projects, briefed for engineering",r-8507608068839674044,19fd3ad9e0383cc9,https://mail.google.com/mail/#all/19fd3ad9e0383cc9,Created; not sent,Prepared text only; genuine thread pending after first send
M&P Electrics,info@mpeservice.co.uk,"Battery faults, scoped before arrival",r983818918175379962,19fd3add3f9b96fd,https://mail.google.com/mail/#all/19fd3add3f9b96fd,Created; not sent,Prepared text only; genuine thread pending after first send
Fire Suppression Ltd,sales@firesuppression.co.uk,"Suppression projects, risk-first",r-8426768385583008278,19fd3adf41c6d50d,https://mail.google.com/mail/#all/19fd3adf41c6d50d,Created; not sent,Prepared text only; genuine thread pending after first send
Airmec Essential Services,enquiries@airmec.co.uk,"Estate compliance, one clear calendar",r-2754318074526208262,19fd3ae1ad409a3e,https://mail.google.com/mail/#all/19fd3ae1ad409a3e,Created; not sent,Prepared text only; genuine thread pending after first send
DoorCheck Ltd,info@door-check.co.uk,"Fire-door portfolios, inspection-ready",r-1575219802794901774,19fd3ae447552b10,https://mail.google.com/mail/#all/19fd3ae447552b10,Created; not sent,Prepared text only; genuine thread pending after first send
Extraction Canopy,info@extractioncanopy.co.uk,"Kitchen extraction, survey-ready",r6612172646061370098,19fd3ae79aef0e95,https://mail.google.com/mail/#all/19fd3ae79aef0e95,Created; not sent,Prepared text only; genuine thread pending after first send
All BMS,contact@allbms.co.uk,"BMS enquiries, routed by outcome",r1323378976765762216,19fd3ae976da6c94,https://mail.google.com/mail/#all/19fd3ae976da6c94,Created; not sent,Prepared text only; genuine thread pending after first send
